trade_id,timestamp,strategy_name,strategy_version,ict_pattern,pattern_confidence,pattern_quality,confluence_score,confluences_str,market_session,session_phase,smart_money_enhanced,entry_method,entry_price,risk_percentage,initial_risk_reward,actual_risk_reward,net_pnl,pnl_pips,exit_method,trade_quality_score,execution_quality
ICT_20240101_000000_FVG,2024-01-01T00:00:00,FVG_BEARISH,1.0,FVG_BEARISH,0.9236124683806783,B,0.7450927111566078,"LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1044073908749767,0.02,0.9551211838002055,1.9503220606326614,12.606713045199342,19.60671304519957,TAKE_PROFIT,81.33569183033555,good
ICT_20240101_000000_FVG,2024-01-01T00:00:00,FVG_BULLISH,1.0,FVG_BULLISH,0.8408547566896237,B,0.7608346865500742,"LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1067659220362545,0.02,1.0034234789276302,0.8734815702677627,-21.842930537941612,-14.842930537941532,STOP_LOSS,64.24650986444057,average
ICT_20240101_000000_JUD,2024-01-01T00:00:00,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.6171646974967543,D,0.6729126316194426,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.0919800598715654,0.02,1.8697995429822134,0.6254953648603865,-16.62703039474988,-9.627030394749042,STOP_LOSS,45.33775671538869,poor
ICT_20240101_000000_BUL,2024-01-01T00:00:00,BULLISH_OB,1.0,BULLISH_OB,0.8030982569317735,B,0.7707187207869781,"LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1029823695392014,0.02,1.3588417941256965,1.534281889592698,14.078057436882958,21.078057436883046,TAKE_PROFIT,78.36091572762766,good
ICT_20240101_000000_JUD,2024-01-01T00:00:00,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.6832413952980232,D,0.5,,ASIAN,mid,False,PATTERN_BREAKOUT,1.0852948674220935,0.02,1.1876520899093446,1.6748255987065421,17.773357703833376,24.773357703833025,TAKE_PROFIT,67.9972418589407,average
ICT_20240101_000000_ORD,2024-01-01T00:00:00,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.8003196384483459,A,0.904373971945018,"VOLUME_CONFIRMATION,STRUCTURE_ALIGNMENT,PATTERN_QUALITY_HIGH",ASIAN,mid,False,ORDER_BLOCK_RETEST,1.083498406313178,0.02,1.261777499349148,2.977796099913568,31.640414010255867,38.64041401025583,TAKE_PROFIT,91.61893845207582,excellent
ICT_20240102_000000_CHA,2024-01-02T00:00:00,CHANGE_OF_CHARACTER,1.0,CHANGE_OF_CHARACTER,0.6036940640527533,D,0.6664628450546746,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.0923328595148507,0.02,1.412702404151595,1.796099125448734,5.5900310865989535,12.590031086599222,TAKE_PROFIT,59.772393047949464,average
ICT_20240102_000000_CHA,2024-01-02T00:00:00,CHANGE_OF_CHARACTER,1.0,CHANGE_OF_CHARACTER,0.824345919083458,B,0.7156397597714813,"LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.095078043481938,0.02,1.8733910064047183,0.8105061378739942,-22.8523620329043,-15.852362032904363,STOP_LOSS,62.62137156679077,average
ICT_20240102_000000_FVG,2024-01-02T00:00:00,MULTI_CONFLUENCE_SUPREME,2.5,FVG_BULLISH,0.9090691203176151,A,0.8434891603317272,"LIQUIDITY_POOL_PROXIMITY,RISK_REWARD_FAVORABLE,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1054565773443614,0.02,4.411576985377998,2.6091046404833613,3.6407972173805376,10.640797217380511,TAKE_PROFIT,88.35930261782164,excellent
ICT_20240101_000000_BUL,2024-01-01T00:00:00,MULTI_CONFLUENCE_SUPREME,2.5,BULLISH_OB,0.7702549213634949,B,0.7671333174492821,"LIQUIDITY_POOL_PROXIMITY,RISK_REWARD_FAVORABLE,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1009139026426722,0.02,3.474955265311699,1.6958650802242163,39.14865758563624,46.148657585635775,TAKE_PROFIT,72.2859805771369,good
ICT_20240101_000000_JUD,2024-01-01T00:00:00,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.6030111246743799,D,0.5,,ASIAN,mid,False,PATTERN_BREAKOUT,1.0804587417449918,0.02,1.154296861387922,2.4784016457777724,13.920538710167417,20.920538710168017,TAKE_PROFIT,75.5903337402314,good
ICT_20240101_000000_BUL,2024-01-01T00:00:00,BULLISH_OB,1.0,BULLISH_OB,0.7036080557767067,D,0.5,,ASIAN,mid,False,PATTERN_BREAKOUT,1.0843097071455843,0.02,1.4788941584952757,0.8171303133073125,-24.37498285783401,-17.37498285783481,STOP_LOSS,53.6082416733012,poor
ICT_20240102_000000_FVG,2024-01-02T00:00:00,FVG_BEARISH,1.0,FVG_BEARISH,0.6497686150569989,C,0.8475050564405496,"RISK_REWARD_FAVORABLE,INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.0852167009957394,0.02,3.039691248751788,2.3148786039849534,41.262516914612256,48.26251691461288,TAKE_PROFIT,85.68068486272371,excellent
