strategy,timestamp,direction,entry_price,exit_price,volume,profit_loss,profit_pips,trade_duration_minutes,confidence_score,pattern_detected,session,timeframe,stop_loss,take_profit,exit_reason,risk_amount,risk_percentage,actual_risk_reward
Optimal_Trade_Entry,2024-01-01,SELL,1.0919800598715654,1.0929427629110404,0.1,-9.62703039474988,-9.627030394749042,1440.0,0.6171646974967543,JUDAS_SWING,ASIAN,M15,1.094629959399628,1.0870252789450452,STOP_LOSS_HIT,200.0,0.02,0.6254953648603865
Optimal_Trade_Entry,2024-01-01,BUY,1.1029823695392014,1.1050901752828897,0.1,21.078057436882958,21.078057436883046,300.0,0.8030982569317735,BULLISH_OB,ASIAN,M15,1.1004921244396322,1.1063662186581127,TARGET_HIT,200.0,0.02,1.534281889592698
Optimal_Trade_Entry,2024-01-02,SELL,1.1054565773443614,1.1043924976226234,0.1,10.640797217380538,10.640797217380511,180.0,0.9090691203176151,FVG_BULLISH,ASIAN,M5,1.1064963303719657,1.1008696268173053,TARGET_HIT,200.0,0.02,2.6091046404833613
Optimal_Trade_Entry,2024-01-02,BUY,1.0852167009957394,1.0900429526872006,0.1,48.262516914612256,48.26251691461288,720.0,0.6497686150569989,FVG_BEARISH,ASIAN,M5,1.0840902673004191,1.0886407116417036,TARGET_HIT,200.0,0.02,2.3148786039849534
Optimal_Trade_Entry,2024-01-03,BUY,1.0844308187046754,1.088340103937334,0.1,39.092852326585444,39.092852326586204,240.0,0.9424533641753876,BEARISH_OB,ASIAN,M5,1.082220487941935,1.0870971808802594,TARGET_HIT,200.0,0.02,1.9056416586300975
Optimal_Trade_Entry,2024-01-03,BUY,1.1063022098364848,1.1086557361655578,0.1,23.535263290730413,23.535263290729333,600.0,0.7266426706776626,CHANGE_OF_CHARACTER,ASIAN,H1,1.1044572186055055,1.1093782490178492,TARGET_HIT,200.0,0.02,2.927626534050167
Optimal_Trade_Entry,2024-01-04,SELL,1.105491259381419,1.1021774323189455,0.1,33.13827062473518,33.13827062473627,180.0,0.9049807122164435,FVG_BEARISH,ASIAN,M5,1.1082458883592505,1.1025096842437303,TARGET_HIT,200.0,0.02,3.0630834767788016
Optimal_Trade_Entry,2024-01-04,BUY,1.0859811190885413,1.0902278217525077,0.1,42.467026639663175,42.467026639663466,960.0,0.8329156032590415,BEARISH_OB,ASIAN,M5,1.0831941767204474,1.0893044199580022,TARGET_HIT,200.0,0.02,1.5096197119407422
Optimal_Trade_Entry,2024-01-04,BUY,1.1118512831038891,1.1161202951758347,0.1,42.69012071945522,42.690120719455074,780.0,0.8807163820993187,BREAK_OF_STRUCTURE,ASIAN,M15,1.1096232717254004,1.1151941072333782,TARGET_HIT,200.0,0.02,3.2424701180757918
Optimal_Trade_Entry,2024-01-04,BUY,1.0910030600176797,1.0900419049492023,0.1,-9.611550684773817,-9.611550684773082,540.0,0.8660319864703925,SILVER_BULLET,ASIAN,M15,1.089924611112099,1.094603324810844,STOP_LOSS_HIT,200.0,0.02,0.2537753593270351
